RespId,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q5,Q30,ppage,educ,race,gender,income_cat,voter_category
470271,2,2,3,3,3,3,3,4,3,4,4,3,1,2,31,1,4,1,4,2
470272,1,2,4,3,4,2,1,1,1,2,1,1,1,3,69,1,1,1,2,2
470273,1,3,4,3,2,1,2,2,2,2,1,2,1,3,76,1,4,1,4,2
480292,1,1,2,2,2,2,1,1,1,2,2,2,1,3,31,1,4,2,1,1
470274,3,3,1,1,2,4,3,3,3,3,4,3,2,1,43,2,2,1,3,3
470275,1,1,3,2,3,3,2,2,2,1,2,3,1,1,54,1,4,2,4,1
470276,1,1,2,1,1,1,1,1,1,1,2,1,1,1,78,2,4,1,1,1
480296,1,2,3,1,1,1,1,2,2,3,3,1,1,2,29,1,4,1,4,3
470277,4,4,1,1,1,4,1,1,1,1,1,1,1,3,66,2,4,1,2,2
470278,3,4,2,1,1,4,1,1,1,3,2,1,1,3,69,1,4,2,1,1
470279,1,2,3,3,2,2,3,2,2,4,3,2,1,2,78,3,1,1,2,1
470282,2,2,3,2,2,3,3,2,2,3,4,3,1,2,29,3,1,2,2,3
470283,1,1,4,1,2,1,2,2,2,2,2,2,1,3,41,1,1,2,3,3
480304,1,2,3,2,1,1,2,2,2,2,2,2,1,5,67,2,2,1,3,3
470284,2,2,3,2,2,1,2,2,2,2,2,2,1,1,85,2,4,1,4,1
470285,1,2,4,1,1,2,1,2,2,2,1,2,1,3,44,1,4,1,4,2
470286,1,1,2,1,1,1,1,1,1,1,1,2,1,2,29,1,4,2,4,2
470289,2,3,2,1,2,2,2,3,2,2,2,1,2,2,83,3,4,1,1,2
470290,1,1,4,1,2,1,2,2,2,2,2,2,1,2,32,3,4,1,3,2
470291,1,3,4,3,2,1,2,2,2,2,2,2,1,3,72,3,4,2,1,1
470292,1,2,2,3,1,2,1,2,2,3,2,2,1,3,55,3,4,2,4,2
